Rank,Country,January ,February,March,April,May,June,July,August,Total
131,Panama,2,6,4,1,2,1,1,3,20
132,Papua New Guinea,4,4,12,46,21,4,4,6,101
133,Paraguay,5,2,4,3,4,2,2,3,25
134,Peru,16,24,27,30,20,22,22,28,189
135,Philippines,424,381,585,565,472,745,608,678,4458
Rank,Country,January ,February,March,April,May,June,July,August,Total
136,Poland,7585,8519,5661,2098,1078,1138,3469,3404,32952
137,Portugal,789,699,876,763,312,644,578,648,5309
138,Qatar,33,46,39,107,47,109,159,159,699
139,Romania,888,894,760,456,190,219,231,397,4035
140,Russian Federation,34096,30295,29177,13525,3328,1891,3158,3446,118916
141,Rwanda,6,3,6,6,0,0,1,8,30
142,Saint Kitts and Nevis,15,16,18,6,4,23,4,25,111
143,Saint Lucia,4,3,5,7,1,1,1,2,24
144,Saint Barthelemy,0,0,0,0,0,0,1,0,1
145,Saint Vincent and the Grenadi,1,0,0,0,7,1,0,0,9
146,Samoa,0,0,3,1,0,0,1,0,5
147,San Marino,2,4,3,2,2,5,1,2,21
148,Sao Tome and Principe,0,0,0,0,1,0,0,0,1
149,Saudi Arabia,487,358,201,416,433,660,1068,690,4313
150,Senegal,5,4,2,4,5,7,5,6,38
151,Serbia,392,309,308,227,56,90,100,73,1555
152,Seychelles,397,212,225,365,192,280,190,510,2371
153,Sierra Leone,5,1,6,2,2,0,3,0,19
154,Singapore,1048,1024,1189,1060,1054,1830,1297,1262,9764
155,Slovakia,1117,1209,832,627,212,133,320,346,4796
156,Slovenia,498,684,226,338,55,123,430,217,2571
157,Solomon Islands,0,0,1,0,1,2,1,1,6
158,Somalia,3,4,1,14,9,1,6,14,52
159,South Africa,365,393,669,370,198,344,419,460,3218
160,South Korea ,2149,1471,963,584,544,660,932,808,8111
161,South Sudan,2,1,1,0,0,1,0,0,5
162,Spain,2696,2528,2548,3144,1593,2331,5912,8843,29595
163,Sudan,70,52,22,102,66,113,121,288,834
164,Suriname,0,3,3,4,2,2,1,3,18
165,Swaziland,1,0,1,0,1,0,0,0,3
166,Sweden,2235,2007,1243,696,286,628,689,341,8125
167,Switzerland,3322,3266,2740,3241,1424,1589,4990,2067,22639
168,Syrian Arab Republic,2,0,1,0,0,0,0,0,3
169,Tajikistan,28,21,18,46,35,16,4,6,174
170,Tanzania,10,12,7,13,19,259,29,35,384
Rank,Country,January ,February,March,April,May,June,July,August,Total
171,Thailand,625,719,903,1220,556,597,506,682,5808
172,Timor-Leste,2,8,1,0,1,1,2,2,17
173,Togo,0,0,2,0,0,0,1,3,6
174,Tonga,0,0,0,0,1,1,0,1,3
175,Trinidad and Tobago,8,8,4,2,4,7,14,11,58
176,Tunisia,43,124,70,60,61,71,63,56,548
177,Turkey,1152,728,992,533,384,607,660,606,5662
178,Turkmenistan,21,9,16,13,9,19,14,7,108
179,Uganda,23,14,9,11,21,20,28,17,143
180,Ukraine,1872,1387,1119,411,234,214,279,272,5788
181,United Arab Emirates,191,171,165,502,400,720,862,820,3831
182,United Kingdom,21730,25528,22447,17348,9221,11628,23475,19764,151141
183,United States,7067,6439,7676,4202,3607,5422,5222,4970,44605
184,Uruguay,20,26,33,46,12,12,7,9,165
185,Uzbekistan,140,134,64,47,54,38,60,57,594
186,Vanuatu,7,3,5,3,4,3,1,7,33
187,Vatican City,0,0,0,0,0,0,0,1,1
188,Venezuela,10,15,18,8,13,9,11,12,96
189,Vietnam,257,253,314,778,250,255,266,308,2681
190,Yemen ,56,27,14,38,28,64,70,75,372
191,Zambia,9,9,2,4,10,6,4,8,52
192,Zimbabwe,11,15,10,13,11,26,7,14,107
Total,,252761,240217,229298,174608,132919,138241,200244,198235,1566523
